,Unnamed: 0,eveWaveTime,mornWaveTime,sec,sec2
0,,,,,
1,1.0,0 days 00:33:00,0 days 00:30:00,0.55,0.5
2,1.0,0 days 00:46:00,0 days 01:04:00,0.767,1.067
3,1.0,0 days 01:39:00,0 days 01:37:00,1.65,1.617
4,1.0,0 days 03:09:00,0 days 04:48:00,3.15,4.8
5,1.0,0 days 01:45:00,0 days 00:50:00,1.75,0.833
6,1.0,0 days 00:02:00,-1 days +23:38:00,0.033,-0.367
7,1.0,-1 days +23:30:00,0 days 00:33:00,-0.5,0.55
8,1.0,0 days 00:27:00,0 days 00:20:00,0.45,0.333
9,1.0,0 days 00:44:00,0 days 00:15:00,0.733,0.25
10,1.0,0 days 00:26:00,0 days 00:18:00,0.433,0.3
11,1.0,0 days 00:38:00,0 days 00:23:00,0.633,0.383
12,1.0,0 days 00:24:00,0 days 00:17:00,0.4,0.283
13,1.0,0 days 00:57:00,0 days 01:04:00,0.95,1.067
14,1.0,0 days 01:21:00,0 days 00:53:00,1.35,0.883
15,1.0,-1 days +23:50:00,0 days 00:46:00,-0.167,0.767
16,1.0,0 days 01:42:00,0 days 00:47:00,1.7,0.783
17,1.0,0 days 01:42:00,0 days 01:45:00,1.7,1.75
18,1.0,0 days 03:08:00,0 days 02:14:00,3.133,2.233
19,1.0,0 days 01:09:00,0 days 01:46:00,1.15,1.767
20,1.0,0 days 00:52:00,-1 days +23:55:00,0.867,-0.083
21,1.0,0 days 00:26:00,0 days 00:54:00,0.433,0.9
22,1.0,0 days 00:15:00,-1 days +23:56:00,0.25,-0.067
23,1.0,0 days 00:14:00,0 days 00:00:00,0.233,0.0
24,1.0,-1 days +23:42:00,0 days 00:32:00,-0.3,0.533
25,1.0,0 days 00:22:00,0 days 00:30:00,0.367,0.5
26,1.0,0 days 00:23:00,0 days 00:21:00,0.383,0.35
27,1.0,0 days 00:23:00,0 days 00:32:00,0.383,0.533
28,1.0,0 days 00:40:00,0 days 00:53:00,0.667,0.883
29,1.0,0 days 00:21:00,0 days 00:21:00,0.35,0.35
